tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful	severity_score_region	severity_score_scram	size_long_region	size_short_region
muscle	ENSG00000162664.17	10450	1	10450	1	0	206	0	1	0.1183106796116505	0	1.83904767036438	0	9.69698715209961	0.8227333426475525	206	60
muscle	ENSG00000162664.17	10450	14125	10450	14125	0	89	0	0	0.1192022471910112	0	0.1396093368530273	0	-2.8259098529815674	-0.09356212615966797	89	60
muscle	ENSG00000162664.17	10450	17723	10450	17723	0	206	0	1	0.1183106796116505	0	1.83904767036438	0	9.69698715209961	4.255626678466797	206	60
muscle	ENSG00000066827.16	15930	2	15930	2	0	1272	0	1	0.1625737976782753	1	26.273696899414062	0	26.115859985351562	25.62128448486328	989	82
muscle	ENSG00000066827.16	15930	3	15930	3	0	1272	0	1	0.1625737976782753	1	26.273696899414062	0	26.115859985351562	25.825782775878906	989	82
muscle	ENSG00000066827.16	15930	20798	15930	20798	0	1272	1	1	0.1625737976782753	1	26.273696899414062	1	26.115859985351562	25.78812026977539	989	82
muscle	ENSG00000066827.16	15930	20799	15930	20799	0	1272	1	1	0.1625737976782753	1	26.273696899414062	1	26.115859985351562	26.105918884277344	989	82
muscle	ENSG00000167632.18	21426	5	21426	5	0	937	0	1	0.0971462113127001	1	3.026096820831299	0	1.2169766426086426	3.452272415161133	937	126
muscle	ENSG00000167632.18	21426	6	21426	6	0	937	0	1	0.0971462113127001	1	3.026096820831299	0	1.2169766426086426	0.8583059310913086	937	126
muscle	ENSG00000167632.18	21426	7	21426	7	0	937	0	1	0.0971462113127001	1	3.026096820831299	0	1.2169766426086426	1.0315613746643066	937	126
muscle	ENSG00000167632.18	21426	32313	21426	32313	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0	18.741840362548828	18.83123016357422	959	90
muscle	ENSG00000167632.18	21426	32314	21426	32314	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0	18.741840362548828	19.875370025634766	959	90
muscle	ENSG00000167632.18	21426	32315	21426	32315	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0	18.741840362548828	19.17184066772461	959	90
muscle	ENSG00000167632.18	21426	32316	21426	32316	0	1155	0	1	0.0972193548387096	1	19.06841468811035	0	18.741840362548828	19.005159378051758	959	90
muscle	ENSG00000130193.8	9968	8	8	9968	1	94	0	0	0.0654266666666666	1	-2.034038782119751	0	-5.806586265563965	-4.381363391876221	75	27
muscle	ENSG00000160959.8	6158	10	6158	10	0	39	1	1	0.0374871794871794	0	3.625314235687256	1	21.36853790283203	-3.309267997741699	39	60
muscle	ENSG00000160959.8	6158	26315	6158	26315	0	552	1	1	0.0613956834532374	1	1.3589856624603271	1	1.9313980340957642	-0.05245614051818848	417	168
muscle	ENSG00000196150.14	19947	6173	6173	19947	1	5	0	1	0.1245999999999999	0	-0.2299800515174865	0	-1.1553359031677246	-1.3606884479522705	5	60
muscle	ENSG00000196150.14	19947	26604	19947	26604	0	384	1	0	0.1589609374999999	1	17.6922664642334	1	20.71302604675293	16.120737075805664	384	60
muscle	ENSG00000172785.19	11932	15	11932	15	0	34	0	0	0.0227647058823529	0	0.0106759443879127	0	-2.2940258979797363	-7.960333824157715	34	60
muscle	ENSG00000172785.19	11932	8109	11932	8109	0	48	0	1	0.2739545454545454	0	-0.6777235269546509	0	-7.359346389770508	11.89514446258545	44	8
muscle	ENSG00000172785.19	11932	16803	11932	16803	0	282	0	0	0.076063829787234	1	2.8952555656433105	0	2.384310722351074	0.4517747163772583	282	60
muscle	ENSG00000172785.19	11932	16810	11932	16810	0	19	0	0	-0.0217894736842105	0	-0.1075140982866287	0	-4.254693508148193	-1.1741788387298584	19	60
muscle	ENSG00000107020.10	2293	17	2293	17	0	33	0	1	0.0059999999999999	0	-0.6184746026992798	0	-3.7551589012145996	1.1896193027496338	33	60
muscle	ENSG00000147872.10	5425	18	18	5425	1	61	0	0	0.1439999999999999	1	-0.2507391571998596	0	-0.39101362228393555	-0.07398587465286255	36	28
muscle	ENSG00000165269.13	6630	19	6630	19	0	91	0	0	0.1201609195402299	1	0.5801804661750793	0	5.0377349853515625	-10.74340534210205	87	18
muscle	ENSG00000165269.13	6630	15850	6630	15850	0	148	0	1	0.0773541666666666	0	0.1652149558067321	0	6.294530868530273	-7.173304080963135	144	18
muscle	ENSG00000165269.13	6630	22001	6630	22001	0	492	0	1	-0.0046809210526315	1	23.95413398742676	0	23.929973602294922	24.619905471801758	304	203
muscle	ENSG00000165269.13	6630	26839	6630	26839	0	554	0	1	0.0166120401337792	1	25.10549545288086	0	25.020427703857422	26.43715476989746	299	268
muscle	ENSG00000137094.16	7927	21	21	7927	1	376	1	1	0.1212766666666666	1	22.84268569946289	1	23.05636215209961	22.667449951171875	300	101
muscle	ENSG00000137094.16	7927	22	22	7927	1	376	1	1	0.1212766666666666	1	22.84268569946289	1	23.05636215209961	21.924808502197266	300	101
muscle	ENSG00000137094.16	7927	27138	27138	7927	1	376	0	1	0.1212766666666666	1	22.84268569946289	0	23.05636215209961	22.24442481994629	300	101
muscle	ENSG00000137094.16	7927	27139	27139	7927	1	376	0	1	0.1212766666666666	1	22.84268569946289	0	23.05636215209961	22.334287643432617	300	101
muscle	ENSG00000198722.15	31501	23	31501	23	0	3955	1	0	0.1464291645044109	1	-0.3623570501804352	1	1.7854530811309814	-1.2392442226409912	536	101
muscle	ENSG00000198722.15	31501	16065	31501	16065	0	2749	0	0	0.1666144052382684	1	-1.061650633811951	0	-1.4469115734100342	-2.647890090942383	665	665
muscle	ENSG00000122707.12	15958	24	15958	24	0	752	1	0	0.1244946808510638	1	1.0841724872589111	1	10.5178861618042	0.882671058177948	752	1
muscle	ENSG00000122707.12	15958	23801	15958	23801	0	746	1	0	0.1284517426273458	1	1.129152536392212	1	1.0749871730804443	2.8036744594573975	746	60
